year,avg_temp
1841,13.09
1842,12.96
1843,13.34
1844,12.60
1845,13.16
1846,13.43
1847,13.03
1848,12.58
1849,12.30
1850,12.99
1851,12.97
1852,12.72
1853,12.51
1854,12.84
1855,11.43
1856,13.40
1857,13.44
1858,13.60
1859,13.17
1860,13.29
1861,13.18
1862,13.50
1863,12.96
1864,13.01
1865,12.78
1866,13.36
1867,13.37
1868,13.31
1869,13.18
1870,13.30
1871,13.50
1872,13.40
1873,13.47
1874,12.96
1875,13.09
1876,13.22
1877,13.10
1878,13.34
1879,13.02
1880,13.40
1881,13.10
1882,13.34
1883,13.42
1884,12.87
1885,13.01
1886,13.03
1887,13.47
1888,13.36
1889,13.54
1890,13.60
1891,13.11
1892,12.93
1893,13.23
1894,13.49
1895,13.53
1896,13.19
1897,13.11
1898,13.97
1899,13.24
1900,12.98
1901,13.33
1902,13.35
1903,13.18
1904,13.19
1905,12.74
1906,13.41
1907,13.10
1908,13.51
1909,12.62
1910,13.47
1911,13.13
1912,13.16
1913,13.12
1914,14.13
1915,13.13
1916,13.02
1917,13.00
1918,13.44
1919,13.87
1920,13.25
1921,13.96
1922,13.34
1923,13.21
1924,12.51
1925,13.02
1926,13.48
1927,13.18
1928,13.45
1929,12.62
1930,13.61
1931,12.73
1932,12.89
1933,13.06
1934,13.59
1935,13.02
1936,13.26
1937,13.45
1938,13.76
1939,13.41
1940,13.36
1941,13.16
1942,13.69
1943,12.68
1944,13.05
1945,13.00
1946,12.63
1947,13.47
1948,12.81
1949,12.42
1950,13.42
1951,13.56
1952,12.94
1953,13.31
1954,13.32
1955,13.24
1956,13.06
1957,13.05
1958,12.99
1959,13.79
1960,13.17
1961,14.33
1962,13.55
1963,13.51
1964,12.88
1965,13.32
1966,13.10
1967,13.52
1968,13.62
1969,13.39
1970,13.12
1971,13.58
1972,13.73
1973,13.69
1974,13.82
1975,13.90
1976,13.55
1977,13.50
1978,13.48
1979,13.90
1980,14.12
1981,14.26
1982,14.03
1983,13.72
1984,13.25
1985,13.70
1986,13.19
1987,13.47
1988,14.53
1989,13.86
1990,14.16
1991,13.77
1992,13.31
1993,13.81
1994,13.52
1995,13.14
1996,13.05
1997,13.93
1998,13.61
1999,14.20
2000,14.32
2001,14.18
2002,14.08
2003,13.99
2004,13.74
2005,14.38
2006,13.99
2007,14.99
2008,14.11
2009,14.65
2010,14.23
2011,14.19
2012,14.27
2013,14.74
